is_sublemma,lemma,occurence_count,document_count
False,Keila,217.0,214
False,hooldekodu,217.0,214
True,olu,216.0,194
True,tulu,215.0,213
False,haridusasutus,214.0,214
False,väljastamine,214.0,210
False,tulenev,213.5,215
False,registreerimine,213.0,187
False,kohta,212.7,616
False,noor,212.0,211
False,juhend,212.0,208
False,infosüsteem,212.0,205
False,huvikool,212.0,189
False,kohtama,211.7,615
False,sotsiaalhoolekanne,211.0,211
False,määrus,211.0,204
False,nõukogu,211.0,203
False,Narva-Jõesuu,210.0,210
True,Narva-Jõgi,210.0,210
False,Märjamaa,210.0,207
False,vändra,210.0,137
False,kadri,209.5,155
True,lõiv,208.0,201
False,arvestuslik,207.0,207
False,toila,207.0,136
True,vastane,206.0,213
True,finants,206.0,196
False,sihtasutus,206.0,183
True,ajama,205.0,341
False,hooldus,205.0,205
True,heakord,205.0,202
True,eluruum,205.0,201
True,päev,205.0,198
True,õhk,204.5,203
False,reservfond,204.0,203
False,diplomaatiline,204.0,192
False,tori,204.0,133
False,luga,203.8,354
True,hooldusee,203.0,406
True,hooldusees,203.0,406
True,jäätmehooldusee,203.0,406
True,jäätmehooldusees,203.0,406
False,hüvitus,202.0,192
False,teostamine,202.0,190
False,seadmine,201.0,201
True,eluase,201.0,200
False,aktsiakapital,201.0,199
True,liit,201.0,191
False,saku,199.5,132
False,ehitusmäärus,199.0,199
True,Põltsa,199.0,197
False,Põltsamaa,199.0,197
True,ümber,199.0,196
False,linnaosa,199.0,194
False,piir,198.5,203
True,kuu,198.5,192
False,kultuur,198.0,196
True,taim,198.0,158
False,saaremaa,198.0,130
True,kasutus,197.5,255
True,tulundus,197.0,195
True,kurg,197.0,188
True,aktsiis,197.0,175
True,väl,196.0,699
True,välima,196.0,699
True,välis,196.0,699
False,omand,196.0,195
True,lasteaed,196.0,193
False,Jõelähtme,196.0,191
True,võtja,196.0,175
True,aine,196.0,160
True,laev,196.0,158
True,tunnistus,196.0,138
True,andm,195.8,331
True,andme,195.5,330
True,sise,195.0,186
False,häädemeeste,195.0,129
False,last,193.0,380
True,mittetulundus,193.0,191
False,Narva,192.0,372
True,alane,190.5,194
False,jäätmekava,190.0,190
False,Väike-Maarja,190.0,189
