lemma,korrektne_lemma
F . J . Wiedemann,F . J . Wiedemann
J . V . veski,J . V . Veski
C . R . Jakobson,C . R . Jakobson
M . Lüdigi,M . Lüdig
A . H . Tammsaare,A . H . Tammsaare
S . Miloševici,S . Miloševic
O . luts,O . Luts
A . Hahni,A . Hahn
E . Vilde,E . Vilde
J . Oro,J . Oro
G . ots,G . Ots
O . lutsuma,O . Luts
G . otsa,G . Ots
G . otsama,G . Ots
Fr . R . Kreutzwald,Fr . R . Kreutzwald
