lemma
COVID-19
SARS-CoV-2
19aastane
7aastane
NO99
10kroonine
12meetrine
24meetrine
500kroonine
5aastane
1000ruut
1000ruutmeetrine
100kroonine
20-se
25kroonine
500ruut
500ruutmeetrine
5kroonine
8tonnine
A1-alam
A1-alamkategooria
B1-alam
B1-alamkategooria
C1-alam
C1-alamkategooria
D1-alam
D1-alamkategooria
TARGET2-Eesti
Valga-1
Valka-2
