wordform,occurence_count,document_count
seadus,5950,2975
ja,1178,918
Eesti,726,324
Vabariigi,577,337
ratifitseerimise,472,469
Euroopa,442,174
seadustik,249,249
vahelise,218,204
kaitse,210,105
protokolli,206,98
lepingu,195,186
valitsuse,192,89
ning,166,159
konventsiooni,164,156
Riigilõivuseadus,161,161
selle,150,74
kohta,140,66
Maksukorralduse,129,129
ühinemise,126,126
sõlmitud,120,38
Tulumaksuseadus,113,113
Alkoholi-,107,107
elektriaktsiisi,107,107
kütuse-,107,107
tubaka-,107,107
tõkestamise,107,103
Tsiviilkohtumenetluse,99,99
aasta,98,81
vahel,98,47
vältimise,84,81
poolt,82,28
Kriminaalmenetluse,81,81
Sotsiaalhoolekande,81,81
topeltmaksustamise,81,78
Ravikindlustuse,78,78
Kohtute,78,39
Läti,76,36
hoidumise,75,72
maksudest,75,72
Rahvusvahelise,74,74
korraldamise,73,73
Sotsiaalmaksuseadus,71,71
Leedu,70,33
Tööturuteenuste,69,69
konventsiooniga,68,66
juurde,66,33
Krediidiasutuste,63,63
Liidu,62,57
Tervishoiuteenuste,61,61
Väärtpaberituru,59,59
kokkuleppe,58,56
Karistusseadustik,55,55
nende,54,27
Kogumispensionide,51,51
Kuningriigi,51,36
Liiklusseadus,49,49
Ravimiseadus,47,47
muutmise,47,47
Äriseadustik,47,47
Riikliku,46,46
rakendamise,46,45
Täitemenetluse,44,44
Veeseadus,44,44
rahvusvahelise,43,40
Politsei,42,42
Relvaseadus,42,42
korralduse,42,42
piirivalve,42,42
omavalitsuse,42,41
Käibemaksuseadus,41,41
pensionikindlustuse,40,40
tulu-,40,39
Välismaalaste,39,39
Ühinenud,39,13
Töölepingu,38,38
Töötuskindlustuse,38,38
Vedelkütuse,38,38
Kindlustustegevuse,36,36
Kohaliku,36,36
Valitsuse,36,31
Soome,36,17
Kaitseväeteenistuse,35,35
käsitleva,34,33
kuuluva,33,33
vastastikuse,33,33
seotud,33,11
Notariaadiseadus,32,32
ohutuse,31,31
Jäätmeseadus,30,30
represseeritud,30,10
Elektrituruseadus,29,29
Elektroonilise,29,29
Keskkonnatasude,29,29
side,29,29
Meresõiduohutuse,28,28
heakskiitmise,28,28
tulumaksudega,28,28
liikmesriikide,28,27
nr,28,23
Rootsi,28,14
Seadus,28,14
Taani,28,13
Avaliku,27,27
Riigi,27,27
Perehüvitiste,26,26
Põhikooli-,26,26
gümnaasiumiseadus,26,26
soodustamise,26,26
Laeva,26,13
Poola,26,12
seadustiku,25,22
Erakooliseadus,24,24
Perekonnaseisutoimingute,24,24
Riigikogu,24,24
investeeringute,24,24
üldosa,24,24
Organisatsiooni,24,23
salastatud,24,8
Haagi,24,6
Tolliseadus,23,23
protokolliga,23,23
riigieelarve,23,23
Võlaõigusseadus,22,22
rahastamise,22,22
terrorismi,22,22
Norra,22,10
Prokuratuuriseadus,21,21
Rahapesu,21,21
Tubakaseadus,21,21
teenistuse,21,21
kapitalimaksuga,21,20
lisaprotokolli,21,20
Nõukogu,20,20
koostöö,20,19
põhikirja,20,19
Ameerika,20,10
Ungari,20,9
Itaalia,20,8
Taimekaitseseadus,19,19
Töötervishoiu,19,19
tööohutuse,19,19
või,19,16
Halduskohtumenetluse,18,18
vabakaubanduslepingu,18,16
Austria,18,9
Toote,18,9
Ukraina,18,9
Tšehhi,18,8
muundatud,18,6
Atmosfääriõhu,17,17
Investeerimisfondide,17,17
Lennundusseadus,17,17
Turvaseadus,17,17
Vangistusseadus,17,17
Välisõhu,17,17
Väärteomenetluse,17,17
laenulepingu,17,17
muudatuste,17,17
valimise,17,17
Karistusregistri,16,16
Majandustegevuse,16,16
dokumentide,16,16
Islandi,16,6
Arengupanga,15,15
Kaitseliidu,15,15
Kohtutäituri,15,15
Maagaasiseadus,15,15
Pankrotiseadus,15,15
kapitalimaksudega,15,15
kasutamise,15,15
Balti,15,14
Investeerimispanga,15,14
põhjustatud,15,4
Finantsinspektsiooni,14,14
Hasartmänguseadus,14,14
Kinnistusraamatuseadus,14,14
Sadamaseadus,14,14
isiku,14,14
lisaeelarve,14,14
võtmise,14,14
asutamise,14,13
Luksemburgi,14,7
Saksamaa,14,7
Rumeenia,14,6
Slovaki,14,6
Sloveenia,14,6
kahju,14,6
Šveitsi,14,6
Hädaolukorra,13,13
Rahvaste,13,13
Rahvastikuregistri,13,13
Rekonstrueerimis-,13,13
Tööorganisatsiooni,13,13
asutuste,13,13
lõpetamise,13,13
staatuse,13,13
teiselt,13,13
tunnustamise,13,13
tõendavate,13,13
tulumaksuga,13,11
seaduse,13,10
Isikut,12,12
Makseasutuste,12,12
Presidendi,12,12
Raudteeseadus,12,12
Riigihangete,12,12
e-raha,12,12
kokkuleppega,12,12
laevaregistrite,12,12
lipuõiguse,12,12
Ühisveevärgi,12,12
ainete,12,11
Föderatsiooni,12,9
Vene,12,8
Geneetiliselt,12,6
Hispaania,12,6
Suurbritannia,12,6
alusel,12,6
eest,12,6
Bulgaaria,12,5
Horvaatia,12,5
Küprose,12,5
Malta,12,5
karistatud,12,4
Halduskoostöö,11,11
ILO,11,11
Kalapüügiseadus,11,11
Lõhkematerjaliseadus,11,11
Piiriülese,11,11
Riiklike,11,11
Toiduseadus,11,11
osalemise,11,11
Ühendriikide,11,11
ühise,11,11
Põhja-Atlandi,11,10
Põhjamaade,11,10
riikide,11,9
Alkoholiseadus,10,10
Asjaõigusseadus,10,10
Audiitortegevuse,10,10
Ehitusseadus,10,10
Ehitusseadustik,10,10
Maamaksuseadus,10,10
Parlamendi,10,10
Perekonnaseadus,10,10
Riigieelarve,10,10
Riigisaladuse,10,10
Söödaseadus,10,10
lepinguga,10,10
muudatuse,10,10
peretoetuste,10,10
rahvusvaheliste,10,10
sotsiaalkindlustuslepingu,10,10
Õiguskantsleri,10,10
hindamise,10,9
Belgia,10,5
Kanada,10,5
Kreeka,10,5
Moldova,10,5
Täiskasvanute,10,5
Türgi,10,5
Abieluvararegistri,9,9
Advokatuuriseadus,9,9
Loomakaitseseadus,9,9
NSV,9,9
Ohvriabi,9,9
Okupatsioonirežiimide,9,9
Puuetega,9,9
Päästeteenistuse,9,9
Riigipiiri,9,9
Tuleohutuse,9,9
denonsseerimise,9,9
inimeste,9,9
põllumajanduspoliitika,9,9
töökorra,9,9
Ühelt,9,9
Ülikooliseadus,9,9
õigusabi,9,9
automatiseeritud,9,3
lihtsustatud,9,3
lähetatud,9,3
organiseeritud,9,3
võõrandatud,9,3
Ühendatud,9,3
Biotsiidiseadus,8,8
Inimõiguste,8,8
Isikuandmete,8,8
Julgeolekuasutuste,8,8
Kaitseväe,8,8
Liitvabariigi,8,8
Loomatauditõrje,8,8
Maaparandusseadus,8,8
Maapõueseadus,8,8
Riigikontrolli,8,8
asutamislepingu,8,8
erastamise,8,8
kodaniku,8,8
korra,8,8
kriminaalasjades,8,8
käitlemise,8,8
käsitlevate,8,8
liikme,8,8
mõistmise,8,8
paljundamise,8,8
riikliku,8,8
sotsiaaltoetuste,8,8
välisteabe,8,8
Õppetoetuste,8,8
Ühistranspordiseadus,8,8
õppelaenu,8,8
Prantsuse,8,7
järelevalve,8,7
kauglevi,8,7
Albaania,8,4
Genfi,8,4
